Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1	22	-1	all	SatisfiedInterests	1	0
1	22	-1	all	TimedOutInterests	0	0
1	23	0	dev=net(0)	InInterests	13	0.375977
1	23	0	dev=net(0)	OutInterests	5	0.145508
1	23	0	dev=net(0)	DropInterests	3	0.0878906
1	23	0	dev=net(0)	InNacks	0	0
1	23	0	dev=net(0)	OutNacks	0	0
1	23	0	dev=net(0)	DropNacks	0	0
1	23	0	dev=net(0)	InData	9	9.31152
1	23	0	dev=net(0)	OutData	3	3.10352
1	23	0	dev=net(0)	DropData	0	0
1	23	-1	all	SatisfiedInterests	5	0
1	23	-1	all	TimedOutInterests	0	0
1	24	0	dev=net(0)	InInterests	14	0.40332
1	24	0	dev=net(0)	OutInterests	5	0.145508
1	24	0	dev=net(0)	DropInterests	9	0.257812
1	24	0	dev=net(0)	InNacks	0	0
1	24	0	dev=net(0)	OutNacks	0	0
1	24	0	dev=net(0)	DropNacks	0	0
1	24	0	dev=net(0)	InData	0	0
1	24	0	dev=net(0)	OutData	0	0
1	24	0	dev=net(0)	DropData	0	0
1	25	0	dev=net(0)	InInterests	23	0.666016
1	25	0	dev=net(0)	OutInterests	8	0.233398
1	25	0	dev=net(0)	DropInterests	14	0.404297
1	25	0	dev=net(0)	InNacks	0	0
1	25	0	dev=net(0)	OutNacks	0	0
1	25	0	dev=net(0)	DropNacks	0	0
1	25	0	dev=net(0)	InData	3	3.10449
1	25	0	dev=net(0)	OutData	0	0
1	25	0	dev=net(0)	DropData	0	0
1	25	-1	all	SatisfiedInterests	2	0
1	25	-1	all	TimedOutInterests	0	0
1	26	0	dev=net(0)	InInterests	12	0.345703
1	26	0	dev=net(0)	OutInterests	5	0.145508
1	26	0	dev=net(0)	DropInterests	7	0.200195
1	26	0	dev=net(0)	InNacks	0	0
1	26	0	dev=net(0)	OutNacks	0	0
1	26	0	dev=net(0)	DropNacks	0	0
1	26	0	dev=net(0)	InData	0	0
1	26	0	dev=net(0)	OutData	0	0
1	26	0	dev=net(0)	DropData	0	0
1	27	0	dev=net(0)	InInterests	23	0.668945
1	27	0	dev=net(0)	OutInterests	8	0.233398
1	27	0	dev=net(0)	DropInterests	15	0.435547
1	27	0	dev=net(0)	InNacks	0	0
1	27	0	dev=net(0)	OutNacks	0	0
1	27	0	dev=net(0)	DropNacks	0	0
1	27	0	dev=net(0)	InData	1	1.03516
1	27	0	dev=net(0)	OutData	0	0
1	27	0	dev=net(0)	DropData	0	0
1	27	-1	all	SatisfiedInterests	1	0
1	27	-1	all	TimedOutInterests	0	0
1	28	0	dev=net(0)	InInterests	17	0.492188
1	28	0	dev=net(0)	OutInterests	7	0.204102
1	28	0	dev=net(0)	DropInterests	10	0.288086
1	28	0	dev=net(0)	InNacks	0	0
1	28	0	dev=net(0)	OutNacks	0	0
1	28	0	dev=net(0)	DropNacks	0	0
1	28	0	dev=net(0)	InData	0	0
1	28	0	dev=net(0)	OutData	0	0
1	28	0	dev=net(0)	DropData	0	0
1	29	0	dev=net(0)	InInterests	18	0.521484
1	29	0	dev=net(0)	OutInterests	4	0.116211
1	29	0	dev=net(0)	DropInterests	11	0.318359
1	29	0	dev=net(0)	InNacks	0	0
1	29	0	dev=net(0)	OutNacks	0	0
1	29	0	dev=net(0)	DropNacks	0	0
1	29	0	dev=net(0)	InData	4	4.13867
1	29	0	dev=net(0)	OutData	2	2.07031
1	29	0	dev=net(0)	DropData	0	0
1	29	-1	all	SatisfiedInterests	4	0
1	29	-1	all	TimedOutInterests	0	0
1	30	0	dev=net(0)	InInterests	20	0.575195
1	30	0	dev=net(0)	OutInterests	8	0.233398
1	30	0	dev=net(0)	DropInterests	11	0.313477
1	30	0	dev=net(0)	InNacks	0	0
1	30	0	dev=net(0)	OutNacks	0	0
1	30	0	dev=net(0)	DropNacks	0	0
1	30	0	dev=net(0)	InData	0	0
1	30	0	dev=net(0)	OutData	0	0
1	30	0	dev=net(0)	DropData	0	0
1	31	0	dev=net(0)	InInterests	13	0.37793
1	31	0	dev=net(0)	OutInterests	9	0.262695
1	31	0	dev=net(0)	DropInterests	3	0.0869141
1	31	0	dev=net(0)	InNacks	0	0
1	31	0	dev=net(0)	OutNacks	0	0
1	31	0	dev=net(0)	DropNacks	0	0
1	31	0	dev=net(0)	InData	0	0
1	31	0	dev=net(0)	OutData	0	0
1	31	0	dev=net(0)	DropData	0	0
