Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
7.00216	10	1	51	FullDelay	0.00215517	2155.17	1	6
7.00329	5	1	51	LastDelay	0.60329	603290	1	12
7.00329	5	1	51	FullDelay	4.10329	4.10329e+06	2	12
7.40222	10	1	31	LastDelay	0.0022227	2222.7	1	13
7.40222	10	1	31	FullDelay	4.70222	4.70222e+06	5	13
7.60224	10	1	44	LastDelay	0.00224327	2243.27	1	5
7.60224	10	1	44	FullDelay	1.75224	1.75224e+06	3	5
7.65335	10	1	45	LastDelay	0.00334899	3348.99	1	4
7.65335	10	1	45	FullDelay	1.75335	1.75335e+06	2	4
7.65335	5	1	45	LastDelay	1.55335	1.55335e+06	1	4
7.65335	5	1	45	FullDelay	5.05335	5.05335e+06	2	4
7.70732	10	1	46	LastDelay	0.00731739	7317.39	1	7
7.70732	10	1	46	FullDelay	1.75732	1.75732e+06	2	7
7.90154	10	1	54	LastDelay	0.00153801	1538.01	1	3
7.90154	10	1	54	FullDelay	0.00153801	1538.01	1	3
7.95327	10	1	17	LastDelay	0.00327084	3270.84	1	5
7.95327	10	1	17	FullDelay	6.85327	6.85327e+06	7	5
8.40383	10	1	43	LastDelay	0.00383329	3833.28	1	5
8.40383	10	1	43	FullDelay	2.60383	2.60383e+06	4	5
8.40383	5	1	43	LastDelay	2.40383	2.40383e+06	1	5
8.40383	5	1	43	FullDelay	5.95383	5.95383e+06	2	5
8.45289	15	1	129	LastDelay	0.00289152	2891.52	1	9
8.45289	15	1	129	FullDelay	0.00289152	2891.52	1	9
8.55062	10	1	50	LastDelay	0.000623927	623.927	1	4
8.55062	10	1	50	FullDelay	1.60062	1.60062e+06	2	4
8.70659	10	1	57	LastDelay	0.00658609	6586.09	1	6
8.70659	10	1	57	FullDelay	0.00658609	6586.09	1	6
8.80918	10	1	25	LastDelay	0.00918184	9181.84	1	8
8.80918	10	1	25	FullDelay	6.40918	6.40918e+06	7	8
9.00217	10	1	30	LastDelay	0.00217318	2173.18	1	6
9.00217	10	1	30	FullDelay	6.35217	6.35217e+06	7	6
9.05672	10	1	38	LastDelay	0.00671653	6716.53	1	6
9.05672	10	1	38	FullDelay	6.00672	6.00672e+06	6	6
9.05843	15	1	12	LastDelay	0.00843028	8430.28	1	12
9.05843	15	1	12	FullDelay	8.45843	8.45843e+06	3	12
9.25204	10	1	52	LastDelay	0.00204123	2041.23	1	5
9.25204	10	1	52	FullDelay	1.45204	1.45204e+06	2	5
9.35473	5	1	135	LastDelay	0.00472888	4728.88	1	8
9.35473	5	1	135	FullDelay	0.00472888	4728.88	1	8
9.45505	5	1	10	LastDelay	0.00504514	5045.14	1	8
9.45505	5	1	10	FullDelay	8.70505	8.70505e+06	3	8
9.55296	10	1	48	LastDelay	0.40296	402960	1	8
9.55296	10	1	48	FullDelay	2.70296	2.70296e+06	4	8
9.95531	10	1	56	LastDelay	1.30531	1.30531e+06	1	8
9.95531	10	1	56	FullDelay	1.30531	1.30531e+06	1	8
10.0008	9	1	94	LastDelay	0.000842083	842.083	1	3
10.0008	9	1	94	FullDelay	0.000842083	842.083	1	3
10.1038	10	1	55	LastDelay	0.00384669	3846.69	1	6
10.1038	10	1	55	FullDelay	1.50385	1.50385e+06	2	6
10.1047	10	1	59	LastDelay	0.704706	704706	1	6
10.1047	10	1	59	FullDelay	0.704706	704706	1	6
10.4519	10	1	79	LastDelay	0.0019476	1947.6	1	3
10.4519	10	1	79	FullDelay	0.0019476	1947.6	1	3
10.5553	5	1	36	LastDelay	0.00526759	5267.6	1	8
10.5553	5	1	36	FullDelay	8.45527	8.45527e+06	3	8
10.7541	10	1	72	LastDelay	0.70409	704090	1	12
10.7541	10	1	72	FullDelay	0.70409	704090	1	12
10.9506	10	1	85	LastDelay	0.000624633	624.633	1	3
10.9506	10	1	85	FullDelay	0.000624633	624.633	1	3
11.0049	10	1	77	LastDelay	0.654869	654869	1	7
11.0049	10	1	77	FullDelay	0.654869	654869	1	7
11.1528	10	1	81	LastDelay	0.452819	452819	1	7
11.1528	10	1	81	FullDelay	0.452819	452819	1	7
11.5024	10	1	88	LastDelay	0.00237999	2379.99	1	6
11.5024	10	1	88	FullDelay	0.00237999	2379.99	1	6
11.8018	10	1	69	LastDelay	0.00183306	1833.06	1	9
11.8018	10	1	69	FullDelay	1.90183	1.90183e+06	2	9
11.8063	5	1	69	LastDelay	0.0562656	56265.6	1	11
11.8063	5	1	69	FullDelay	7.20627	7.20627e+06	2	11
12.2514	10	1	95	LastDelay	0.00137681	1376.81	1	3
12.2514	10	1	95	FullDelay	0.00137681	1376.81	1	3
12.4524	5	1	29	LastDelay	2.25244	2.25244e+06	1	13
12.4524	5	1	29	FullDelay	10.7524	1.07524e+07	3	13
12.5529	10	1	86	LastDelay	1.15293	1.15293e+06	1	9
12.5529	10	1	86	FullDelay	1.15293	1.15293e+06	1	9
12.5534	5	1	86	LastDelay	0.00343472	3434.72	1	10
12.5534	5	1	86	FullDelay	5.65343	5.65343e+06	2	10
12.851	10	1	92	LastDelay	0.751019	751019	1	6
12.851	10	1	92	FullDelay	0.751019	751019	1	6
12.9045	10	1	97	LastDelay	0.00454386	4543.86	1	8
12.9045	10	1	97	FullDelay	0.00454386	4543.86	1	8
13.4064	10	1	106	LastDelay	0.00637385	6373.85	1	10
13.4064	10	1	106	FullDelay	0.00637385	6373.85	1	10
13.5531	10	1	53	LastDelay	0.00305812	3058.12	1	12
13.5531	10	1	53	FullDelay	5.70306	5.70306e+06	4	12
14.0524	10	1	109	LastDelay	0.00239803	2398.03	1	17
14.0524	10	1	109	FullDelay	0.00239803	2398.03	1	17
